iter	Passed	Remaining
0	0	32
1	0	31
2	0	30
3	1	27
4	1	28
5	1	28
6	2	27
7	2	27
8	2	26
9	2	25
10	3	25
11	3	24
12	3	25
13	4	25
14	4	25
15	4	25
16	5	25
17	5	25
18	5	25
19	6	25
20	6	25
21	7	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	11	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	15	11
58	16	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	17	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
